id,kood,nimi,markus,sort,tase,jrk
65,011004,Neidude õpetamine,Õpetused kaasa valikuks ja valituks saamise kohta,1,2,
66,011005,Unelmad ja ootused,"Unenäod, millist poissi-tüdrukut tahetakse jne",1,2,
67,011008,Vanapoiss ja vanatüdruk,,1,2,
68,012,Pulmalaulud,,1,1,
69,012001,Pulmalaul,"Täpsem tüpologiseerimine saab olema tulevikus, kuid liigiline kuuluvus oluline.",1,2,
70,012002,Mõrsjakodus oodatakse peigu,,1,2,
71,012003,Ettevalmistus mõrsjakoju sõitmiseks,,1,2,
72,012004,Sõidulaulud,,1,2,
73,012005,Peiu saabumine mõrsjakoju,,1,2,
74,012038,Hoolitsemine hobuste eest,,1,2,
75,012007,Mõrsja nõudmine ja otsimine,,1,2,
76,012008,Ebamõrsja,,1,2,
77,012009,Nooriku piiramine,,1,2,
78,012010,Peiu kingid mõrsjale,,1,2,
79,012011,Kingid mõrsja emale,,1,2,
80,012012,Vatsk,,1,2,
81,012013,Mõrsja lunastamine,,1,2,
82,012015,Mõrsja lahkumine vanematekodunt,,1,2,
83,012016,Mõrsja tuuakse mehekoju,,1,2,
84,012017,Uue kodu tutvustamine,,1,2,
85,012018,Kirstutoomine,,1,2,
86,012019,Mõrsjapoolsete saabumine peiukoju,,1,2,
87,012020,Aletuli,,1,2,
88,012021,Tanutamine,,1,2,
89,012022,Põlletamine ja põllelappimine,,1,2,
90,012023,Noorpaari magama viimine,,1,2,
91,012024,Noorpaari äratamine,,1,2,
92,012025,Veimevaka jagamine,,1,2,
93,012026,Pulmaliste lahkumine,,1,2,
94,012027,Peiu ja mõrsja vastastikune laitmine ja ülistamine,,1,2,
95,012028,Õpetused ja manitsused mõrsjale,,1,2,
96,012030,Õpetused ja manitsused peiule,,1,2,
97,002002,Laulikute sõimlemine,,1,2,
98,012031,Kaasikute laulud,,1,2,
99,012032,Rahakorjamine,"üldine (vt eespool lunastamine, põllelappimine jm), Lemmkibu",1,2,
100,012033,Lapuline,,1,2,
101,012034,Söök ja jook pulmas,,1,2,
102,012035,Laul pulmas,,1,2,
103,012037,Tants pulmas,,1,2,
104,013,Laulud abielust,,1,1,
105,013001,Abielumehe põli,,1,2,
106,013002,Abielunaise põli,"Isa-ja mehekodu, miniapõli, hea-halb koht, hea-halb mees, naine ja laps",1,2,
107,014,Lastelaulud,"Sisaldab regivärsilist lastelaulu, ei sisalda liisutuslugemisi, loetamisi jmt.",1,1,
108,014001,Hällilaulud,,1,2,
109,014002,Hüpitus- ja mängituslaulud,,1,2,
110,014003,Ahellaulud,ka kumulatiivne,1,2,
111,014004,Muud lastelaulud,"sh vanemad regilauluelementidega liisutused, loendamised, sõimud",1,2,
113,015,Loitsud,,1,1,
114,015001,Sõnad loodusnähtuste mõjutamiseks,,1,2,
115,015002,Sõnad inimeste mõjutamiseks,,1,2,
116,015003,Sõnad töö edendamiseks,,1,2,
117,015004,Sõnad õnnetuste ja haiguste vastu,,1,2,
118,016,Itkud,Sisaldab ka itkuparoodiaid,1,1,
119,016001,Mõrsjaitkud,,1,2,
120,016002,Nekrutiitkud,,1,2,
121,016003,Surnuitkud,,1,2,
122,017,Improvisatsioonid,sisaldab ka laulutüübiga mitteseostuvat omaloomingut,1,1,
123,001001010,Loomine,"ERlA 1. LOOMINE. Kasutatakse ka Loomislaul, aga trükistes igal pool Loomine.
1. Loomine: tuntud üle maa (erandiks Kagu-Eesti), eriti Põhja- ja Edela-Eestis; populaarne laul, millest on noteeritud üle 100 teisendi. Kontamineerub «riti kiigelauludega (449, 450, 452) ja «Mere pühkimise» (999) motiiviga, ka lauluga 195 («Kolm metsa»). Variant 4 — tüüpiline kuluvorm. Lauldud eriti kiigel (Lääne-Eestis), on kasutatud ka mängulauluna. Maailma loomine munast on tüüpiline põhjarahvaste uskumus (vrd. «Kalevala»). Eesti «Loomislaulus» on maailmaloomise motiiv juba võrdlemisi teisejärguline, pearõhk on ilutseval linnu pesa otsimise kirjeldusel. Vt. ER I, 15—72; O. Okkonen, Maaitaiansynty-runo KsVk 1, 123—137; K. Krohn, Luomisruno Inkerissa. KsVk 10, 5—25; M. Kuusi, Virolais-suomalainen maailmansynty runo. KsVk 36, 49—84; I. Rüütel, Muistne «Loomislaul» eesti uuemas rahvatraditsioonis. Paar sammukest VI, 102—132.
1. Loomine: tuntud üle maa (erandiks Kagu-",2,3,
124,001001003,Harja otsimine,"ERlA 2. HARJA OTSIMINE: tuntud peamiselt eP ja Lääne-Eestis ning Mulgimaal; populaarne laul (noteeritud üle 100 teisendi). Kontamineerub lauluga ""Venna otsija"" (8) ja mitmesuguste pesemismotiividega; konstitutiivsed liited näikse olevat lõpuosana ""Mõõk merest"" (3), algusosadena ""Veere vaese vaeva tõttu"" (145) või ""Päev soeb sulaste päid"" (149), mis esinevad ka iseseisvalt. Vt. ER I, 295—357; A. Salmela, Päivän suka. KsVk 44, 100—116.
Harja otsimine: VK III 42, VK IV 303, VK VI 59, VK VII 292, VK VIII 4, VK IX 3, VK X 6, VK XII 4, VK XIII 1, VK IV 7, ER 9, Lg 345, ERlV IV 2, ERlA 2; Veerä, veerä, päiväkene – VK I 85; Veere, veere, päeväkene – VK II 167.",2,3,
125,001001013,Mõõk merest,"ERlA 3. MÕÕK MEREST: : hõredalt levinud, tuntud üle maa (erandiks Kagu-Eesti). Esineb ka laulu «Harja otsimine» (2) konstitutiivse lõpuosana. Vt. veel «Venna sõjalugu» (1677). Vt. R. Lindgren, Merestä löydetty miekka, Hämeenlinna 1913; O. Kallas, Viederholungslieder, 386 jj.
Mõõk merest: VK VIII*, VK IX*, VK XII 5, VK XIV 6, ERlV IV 110, ERlA 3.",2,3,
126,001001016,Suur härg,"VK III 324, VK V 109, VK VI 4, VK VIII 6, VK IX 7, VK XI 1, Lg. 336, ERlV I, D 20, ERlV IV 13, ERlA 4; Soome härg – ER 10.
4. Suur härg: peamiselt eP tuntud (rannikualal). Kasutatud ka nimetust «Soome härg» (vt. ER I, 358—369). Eepilise arendusena vähe tuntud. On aga väga populaarne talgulauluna ning tänulauluna söögi eest ning sellisena tuntud üle maa (tekst 10 ongi selline): vt. 617 ja 2585 D, 817; vrd. 1271 («Rikka härg ja vaese vares»). Need arendused on eepikast võrdlemisi kaugel, ehkki tüpoloogiline ligisus ei puudu. Laulul on vasteid Soomes. Vt. O. Okkonen, Iso härkä. KsVk 15, 175—181; V. Salminen, Kertovien runojen historiaa. Inkeri. Suomi V: 8, 185—189.",2,3,
127,001001019,Tähemõrsja,"Tähe mõrsja: VK VII 246, VK X 2, ERlV IV 3-5; Tähemõrsja - VK VI 2, VK VIII 2, VK IX 2, ERlA 5; Salme laulud - VK II 310; Salme laul - Lg. 348; Salme neiu - ERl II 16; Taevased kosilased - VK III 117, VK IV 131.",2,3,
128,001001004,Ilmatütar,ERlA 6. ILMATÜTAR.,2,3,
129,001001006,Kuldnaine,"ERl I 3, KLT, Val. 89; VK III 185, VK IV 181, VK VI 40, VK XI 2, Lg. 350; ERLV IV 63-65, ERlA 7.",2,3,
130,001001021,Venna otsija,"VK VIII 3, VK IX 4, VK X 3, VK XI 3, ERlA 8; Läksin vendä otsimaie – VK II 301
8. Venna otsija: nimetatud ka «Uppunud vend». Populaarne laul (üle 200 teisendi noteeritud), tuntud üle maa, eriti põhjarannikul, Mulgimaal ja kagus. Vrd. 1886 («Vee võetud venda leinamas»), mis esineb sageli «Venna otsija» konstitutiivse lõpuna. Mõnikord on sisuks mitte venna, vaid neiu otsimine. Liitub lauludega: 1056 («Neiu linn») ja 953 («Vend sepaks»). On kasutatud ka mängulauluna (vt. tekst 25). Vt. ER I, 201—294; O. Kallas, Wiederholungslieder, 391 jj,; M. Kuusi, Laivassa surmattu veli. KsVk 46, 168—195.",2,3,
131,001002011,Mere kosilased,ERlA 9. MIS MEES MEREST TÕUSEB? ERlV VI. 39. Mere kosilased,2,3,
132,001002005,Kalaneitsi,"ERlA 10. KALANEITSI. Soomes mütoloogiline \""Vellamon neidon onginta\"".",2,3,
133,001002016,Nuttev tamm,ERlA 11. NUTTEV TAMM,2,3,
134,001001017,Suur tamm,"VK III 304, VK IV 328, VK V 357, VK VI 5, VK VII*, VK VIII 5, VK IX 6, VK X 4, VK XI 4, ERlV IV 8-10, ERlA 12; Tamme istutamine – VK II 296.",2,3,
135,001002003,Hiie noormees,ERlA 13. HIIE NOORMEES.,2,3,
136,001002022,Suisa suud,Ka: Karske neiu. ERlA 14. SUISA SUUD. ,2,3,
137,001002017,Nõmme noormees,ERlA 15. NÕMME NOORMEES,2,3,
138,001002021,Roost robin,ERlA 16. ROOST ROBIN.,2,3,
139,001002018,Pea piiramine,ERlA 17. PEA PiiRAMINE.,2,3,
140,001002008,Mareta laps,ERlA 18. MARETA LAPS.,2,3,
141,001001015,Ristitud mets,"VK VI 23, VK VIII 15, VK XI 7, ER 5, ERlV IV 74, ERlA 19",2,3,
142,001002007,Lunastatav neiu,"VK III 111, VK IV 127, VK V 381, VK VI 21, VK VIII 24, VK IX 19, VK X 13, VK XI 8, ERlV IV 37-38, ERlA 20; Armuta omaksed – VK I 103; Anne läeb meiltä sõdaje – VK II 292.",2,3,
143,001002019,Peiu laev,ERlA 21. PEIU LAEV.,2,3,
144,001002001,Arg kosilane,"VK III 98, VK IV 120, VK V 370, VK VI 20, VK VIII 19 VK XI 11, Lg. 333, ERlV IV 47-48, ERlA 22; Arg peig – VK II 55; Neiu püüdmine – VK I 120. Vt ka Neid pole püssil püütav",2,3,
145,001002014,Müüdud neiu,"VK III 116, VK IV 141, VK V 361, VK VI 38, VK VII 257, VK VIII 23, VK IX 18, VK X 12, VK XI 10, ERl I 12, ERlV IV 35, ERlA 24; Neiu müük – VK II 45.",2,3,
146,001002023,Tütarde tapja,"VK III 152, VK IV 218, VK V 394, VK VI 37, VK VII 258, VK VIII 27, VK IX 21, VK X 14, VK XI 13, ERlV IV 67-69, ERlA 25; Ema, poeg ja minija – VK II 56; Vuol. Tütarde tapja ja Tütarde uputaja.",2,3,
147,001002020,Pruudi hukkaja,"ERlA 26. Pruudi hukkaja, vrdl Kalmuneiu",2,3,
148,001002015,Naisetapja,"ERlA 27. Naise tapja. Ka: VK I Naeze hukkaja; Toomalaul; Toomas, naisetapja",2,3,
149,001002010,Mehetapja,"Mehe tapja: VK VI 39, VK IX 22, ERlA 28; Mehetapja – VK III 175, VK IV 216, VK VIII 28, VK X 15, VK XI 15, ERlV IV 72; Mehe hukkaja – VK I 111, VK II 308. Ka: Maie laul ~ Maielaul; Mehetapja Mai; Abikaasatapja Mai",2,3,
150,002001,Laulust ja laulikust,"Sisaldab alateemasid laulu päritolust, laulu võimust ning laulikust. Kuna lauludes teemad põimuvad, pole eraldi alaliike.",1,2,
151,017001,Seto improvisatsioonid,,1,2,
152,017002,Omalooming,"Regivärsiline mittetraditsiooniline, k.a Kalevipoeg. Tüübi nimeks koguja/looja enda pealkiri või selle puudumisel laulu esimene värss",1,2,
153,001004001,Venna sõjalugu,"VK III 420, VK IV 418, VK V 411, VK VI 57, VK VII 293, VK VIII 55, VK IX 30, VK X 27, VK XI 23, ERlV IV 112-113, ERlA 1677; Vennä sõa lugu – VK I 102; Venna sõja lugu – VK II 291.",2,3,
154,002001095,Võõras palub luba laulda,,2,3,
155,006008007,Ihutud mõõk,esialgu ei leia mujalt vastet,2,3,
156,009002011,Tehke mõõgad sõja vastu,,2,3,
157,001003018,Mõõk murtud,vrd Ehted kadunud,2,3,
158,001002024,Tütar vette!,"Tütar vette!: VK VIII 20, VK X 9, Lg. 355, ERlA 1869; Ema ei viinud vette – VK IV 6, VK VIII 26, ERlV IV 17-18; Vii vette – VK I 70; Kudas viin vere vezile – VK II 122.
ERlA 1869. Tütar vette: tuntud peamiselt Lõuna-Eestis, mujal esineb sporaadiliselt. Kagu-Eestis on sellest laulust edasi arenenud tüüp 6 («Ilmatütar»). Liitub lauludega 5 («Tähemõrsja»), 25 («Tütarde tapja»), 45 («Neiu põld»), 1199 («Kasvatus asjatu»), 1281 («Orjaks viheldud»). Esineb kord pika, eepilise arendusena, kord napisõnalise motiivina. Laulu aluseks oli varasel feodaalajal (ning osalt hiljemgi) käibel olnud komme — hukata vastsündinud tütarlapsed (eriti siis, kui laste seas oli juba tütar). Võimalik, et laste hukkamine oli tingitud elutingimuste raskusest. Pole ka võimatu, et selles nähti teatavat ohvrit. Vt. V. Reiman, Tütar vette. EK 1910, 135—143.",2,3,
159,001002002,Ema müüs tütreid,Vrdl Tütarde tapja; Miks müüsid tütre! - VK VII 45; ERlA 2223; Tütre müümine VK IV*.,2,3,
160,001003021,Osmi haigus,ERlA 29. Osmi haigus,2,3,
161,001003027,Venna kirvehaav,ERlA 30. Venna kirvehaav. Ka: Kirves haavab venda,2,3,
162,001003028,Vikat haavab venda,ERlA 31. Vikat haavab venda.,2,3,
163,001003023,Püha putke lõikaja,ERlA 32. Püha putke lõikaja,2,3,
164,001003017,Laevapuu,ERlA 33. Laevapuu,2,3,
165,001003025,Veeteele viibinud neiu,"VK X Veeteele viibinud (132: 1), VK VIII 16, VK III 20, VK VI 525, ERlV IV 33; Veetooja - ERlA 34.",2,3,
166,001003015,Karja kauplejad,"ERLV I B 14, ERLV IV 96; ERlA 35. Vrdl Hobuse ostjad: VK III 29, VK IV 335, VK XI 19; Hobuseostjad – VK VI 45",2,3,
167,001003014,Kari kadunud,ERLA 36. Kari kadunud,2,3,
168,001003006,Haned kadunud,"Haned kadunud: ERlA 37. Haned kadunud: väga populaarne korduslaul, üle maa, eriti läänes ja kagus tuntud. Esineb mõnikord ka n.-ö. ühekordselt, ilma korduseta. Sissejuhatavas osas on ühiseid jooni lauluga „Kari kadunud“ (36), vrd. ka lauludega 38—40. Vt. ER II, 221—370; O. Kallas, Wiederholungslieder, 186—248; F. J. Oinas, Studies in Finnic-Slavic Folklore Relations. FFC 205.
VK III 26, VK IV 337, VK V 405, VK VI 60, VK VII 272, VK VIII 49, VK IX 14, VK XI 18, VK XII 20, VK XIII 15, VK XIII 26, Lg. 338, ERlV IV 104-105, ERlA 37; Hani kadunud – ER 17; Hane karjane – VK II 304; Kas tie' mino hanni näiet – VK I 147.",2,3,
169,001003013,Härjad murtud,"VK IV 338, VK VI 42, VK VIII 45, VK IX 15, VK XI 17, ER 18, Lg. 341, ERlV IV 102-103, ERlA 38 ja 722; Härgade kahju – VK I 104, VK II 306",2,3,
170,001003009,Hobune varastatud,"VK III 27, VK IV 333, VK V 406, VK VI 41, VK VII*, VK VIII 44, VK X 26, VK XI 16, ERlV IV 100-101, ERlA 39; Hobuze kahju – VK I 105.",2,3,
171,001003008,Hobune murtud,ERlA 40. Hobune murtud,2,3,
172,001003022,Põll põrmune,"VK III 23, VK V 368, VK VI 24, VK IX 12, VK XI 20, ERlV IV 93-94, ERlA 41, Lg. 346; Kuulsin külas kiigutava – VK II 209; Poizi\' lei tsõõri morala – VK I 18.",2,3,
173,001003002,Ehted kadunud,"ERlA 42. Ehted kadunud: A. Ehted kadunud, B. Ehted riisutud; Sõrmus kadunud",2,3,
174,001003004,Ehted riisutud,"ERlA Ehted kadunud redaktsioon, RO eraldi tüüp. VK V 367.",2,3,
175,001003003,Ehted katki,ERlA 43. Ehted katki,2,3,
176,001003005,Ehted varastatud,RO. VK VI 27. Vrdl Ehted riisutud.,2,3,
177,001003020,Neiu tõld katki,ERlA 44. Neiu tõld katki. Ka: Neiu läheb sepile,2,3,
178,001003019,Neiu põld,ERlA 45. Neiu põld,2,3,
179,001003016,Kubjas ja teomees,"VK IV 388, VK V 412, VK VII 271, VK VIII 51, VK IX 27, VK X 25, VK XI 22, ERlV IV 122-126, ERlA 1413; Käizin tilluke teole – VK II 150; Oh mu kubjas kullakene! – VK II 151; Ollin tilluke teole – VK II 152; Pühäbä pühä pidäzin – VK II 156; Kupja peksja – VK VI 64.",2,3,
180,001005006,Ori taevas,ERlA 46. Ori taevas. Soome: Viron orja,2,3,
181,001005002,Jeesuse kannatamine ja surm,ERlA 47. Jeesuse kannatamine ja surm,2,3,
182,001005003,Jeesuse näljasurm,"ERlA 48. Jeesuse näljasurm. Ka: Jeesus, Maria, Madli",2,3,
183,001005005,Maarja otsib poega,"VK VII 208, VK VIII 70, VK XI 24; Maarja kõnnib tiedä müödä – VK II 49.",2,3,
184,001001005,Kolm kotkast,"VK VI 531, VK XI 5, ERlA 245. Vrdl Mitmesugused maad: Kolm kotkast – VK VI 204.",2,3,
186,001003010,Hobuse ostjad,"Hobuse ostjad: VK III 29, VK IV 335, VK XI 19; Hobuseostjad – VK VI 45. Vrdl Karja kauplejad",2,3,
187,001003029,Viru sepp,"VK III 363, VK IV 363, VK VI 120, VK VIII 46, VK IX 11, VK XI 21; Valla sepp – VK X 19; Jätä maha sepä amet – VK II 300; Vend sepaks – ERlA 953.",2,3,
188,004004022,Mihklisantide laul,ERlA 347. Mihklisantide laul,2,3,
189,004004001,Hingesantide laul,ERlA 348. Hingesantide laul,2,3,
190,004004012,Mardilaul,"Siia koonduvad mardilaulude tsüklid, mis vajavad hiljem täpsemat motiivide määramist kartoteegi põhjal. VK III 45, VK IV 54, VK V 28, VK VI 640, VK VII 174, VK VIII 433, VK IX 256, VK X 58, VK XI 88, ERlV II, I A 1-14; Mardid – VK II 204; Mardisandi laul – ERlA 368.

",2,3,
191,004004018,Mardi teretamine,ERlA 350. Mardi teretamine,2,3,
192,004004011,Mardi kaebamine,ERlA 351. Mardi kaebamine,2,3,
193,004004024,On see talutare,ERlA 352. On see talutare,2,3,
194,004004017,Mardi tants,ERlA 353. Mardi tants,2,3,
195,004004014,Mardinooriku laul,ERlA 354. Mardinooriku laul,2,3,
196,004004020,Martide mangumine,ERlA 355. Martide mangumine,2,3,
197,004004019,Mardi tänamine,ERlA 356. Mardi tänamine,2,3,
198,004004016,Mardi sajatused,ERlA 357. Mardi sajatused,2,3,
199,004004015,Mardi palve,ERlA 358. Mardi palve,2,3,
200,004004021,Mart-lart,ERlA 359. Mart-lart,2,3,
201,004004025,Sinti-Marti,ERlA 360. Sinti-Marti,2,3,
202,004004004,Kadrilaul,"Siia koonduvad kadrilaulude tsüklid, mis vajavad hiljem täpsemat motiivide määramist kartoteegi põhjal. VK III 46, VK IV 55, VK V 29, VK VI 641, VK VII 176, VK VIII 434, VK IX 257, VK X 59, VK XI 89, ERlV II, I A 15-20; Kadrid – VK II 205; Kadrisandi laul – ERlA 361.",2,3,
203,004004006,Kadri mangumine,ERlA 362. Kadri mangumine,2,3,
204,004004007,Kadrisantide tänamine,ERlA 363. Kadrisantide tänamine,2,3,
205,004004002,Kadride sajatus,ERlA 364. Kadride sajatus,2,3,
206,004004026,Tabanisandi laul,ERlA 365. Tabanisandi laul,2,3,
207,004004023,Näärisantide laul,ERlA 366. Näärisantide laul,2,3,
208,004005004,Ootasin jõuluks vorsti,ERlA 367. Ootasin jõuluks vorsti,2,3,
209,004005001,"Jõudke, jõulud!","VK VI 642, VK VIII 435, VK IX 260, VK X 60, VK XI 90, ERlA 368; Jõulude ootamine – VK V 41.",2,3,
210,004005002,Jõulu ettevalmistused,ERlA 369. Jõulu ettevalmistused,2,3,
211,004005003,Jõulutoidud,ERlA 370. Jõulutoidud,2,3,
212,004001001,Ei vastel toassa seisa,ERlA 371. Ei vastel toassa seisa,2,3,
213,004001005,Linad liulaskjale!,"VK V 31, VK VII 178, VK VIII 436, VK IX 260, VK X 62, VK XI 91, ERlV II, I A 24- 25, ERlA 372; Lähme liugu laskemaie – VK II 200; Liulaskmise laul – VK III 48, VK IV 356; Linad liulaskijalle – VK VI 643.",2,3,
214,004001006,Linad pikaks!,"ERlA 373. Linad pikaks A. Linad liupikkuseks, B. Pikaks kui ree jäljed, C. Linad liniku pikkuseks, D. Linad metsa pikkuseks",2,3,
215,004001003,Kes ei tule liuguma,"ERlA 374. Kes ei tule liuguma: A. Kask kaela peale, B. Jäägu mardini magama, C. Selle linad kolletagu",2,3,
216,004001007,Liuglemine,ERlA 375. Liuglemine,2,3,
217,004001010,Vastlasõit,ERlA 376. Vastlasõit,2,3,
218,004001004,Lina loitsimine,ERlA 377. Lina loitsimine,2,3,
219,004001008,Lähme liugu laskma,ERlA 378. Lähme liugu laskma,2,3,
220,004001009,Vastlamardi laul,ERlA 379. Vastlamardi laul,2,3,
221,004004027,Vastlasantide laul,ERlA 380. Vastlasantide laul,2,3,
222,004001002,Kada-ajamise laul,ERlA 381. Kada-ajamise laul,2,3,
223,011007,Seksuaalelu mured ja rõõmud,,1,2,
224,004006001,Jüri taskus taevavõtmed,ERlA 382. Jüri taskus taevavõtmed,2,3,
225,004006003,Lihavõtte ootamine,ERlA 383. Lihavõtte ootamine,2,3,
226,004003003,Jaani oodatakse karja aitama,ERlA 384. Jaani oodatakse karja aitama,2,3,
227,004003004,Jaani ootamine,ERlA 385. Jaani ootamine,2,3,
228,004003013,Kutse jaanitulele,ERlA 386. Kutse jaanitulele,2,3,
229,004006013,Tuhkapäeva laul,VK XI 92,2,3,
230,004003015,Tulge tuld hoidma,ERlA 387. Tulge tuld hoidma,2,3,
231,004003011,Kes ei tule jaanitulele!,"VK V 33, VK VIII 439, VK XI 87, ERlV II IB 37, ERlA 388.",2,3,
232,004003016,Vara tulnud jaan,ERlA 389. Vara tulnud jaan,2,3,
233,004003001,Eks tulnud sügisel,ERlA 390. Eks tulnud sügisel,2,3,
234,004003012,Kuhu jaan jäänud,ERlA 391. Kuhu jaan jäänud,2,3,
235,004003014,Mullune ja tänavune jaanipäev,ERlA 392. Mullune ja tänavune jaanipäev,2,3,
236,004003006,Jaan jaanitulel,ERlA 393. Jaan jaanitulel,2,3,
237,004003002,Jaani hobune,ERlA 394. Jaani hobune,2,3,
238,004003017,Ära tule halliga!,ERlA 395. Ära tule halliga!,2,3,
239,004003008,Jaan tuli lapsi vaatama,ERlA 396. Jaan tuli lapsi vaatama,2,3,
240,004003009,Jaan tõi pika piimapüti,ERlA 397. Jaan tõi pika piimapüti,2,3,
241,004003007,"Jaan, too heinu!","ERlA 398. Jaan, too heinu!",2,3,
242,004003005,Jaanipäev möödas,ERlA 399. Jaanipäev möödas,2,3,
243,004006009,Pühad püünisesse,ERlA 339. Pühad püünisesse,2,3,
244,004006006,Pühadeks puhastab ehted,ERlA 340. Pühadeks puhastab ehted,2,3,
245,004006005,Pühadeks kased koju,ERlA 341. Pühadeks kased koju,2,3,
246,004006004,Millega pühi peame,ERlA 342. Millega pühi peame,2,3,
247,004006010,Pühad teevad mustaks,ERlA 343. Pühad teevad mustaks,2,3,
248,004006007,Pühade ärasaatmine,ERlA 344. Pühade ärasaatmine,2,3,
249,004006011,Saadame pühad üle nurme,ERlA 345. Saadame pühad üle nurme,2,3,
250,004006008,Pühad möödas,ERlA 346. Pühad möödas,2,3,
251,003001042,Veere venna juurde,"ERla 144, eL tuntud ja populaarne, esineb kahes arenduses A-redaktsioonis on kaks motiivi — veere kullast kõrendit mööda ja veere venna juurde; B-redaktsioonis ainult esimene motiiv (ongi ehk kuluvorm).",2,3,
